
Id,Name,latitude,longitude,closest_st,dist_closest_st
10,Twin Peaks,37.75234,-122.447558,,
5,Chinatown,37.794121,-122.406987,,
8,de Young Fine Arts Museum,37.772122,-122.46933,,
2,Alcatraz Landing,37.806705,-122.405137,,
4,Golden Gate Park,37.77055,-122.454269,,
12,Ghirardelli Square,37.805379,-122.422823,,
1,Golden Gate Brige,37.807648,-122.474985,,
6,Legion of Honor,37.784793,-122.500395,,
9,Museum of Modern Art,37.785645,-122.401169,,
11,AT&T Park,37.77868,-122.388905,,
3,Fishermans Wharf,37.808401,-122.41024,,
7,California Academy of Sciences,37.769525,-122.465719,,
